SMILES,LogP
CC(C)OC(=O)CS(C1=CC=C(C=C1Cl)[N+]([O-])=O)=O,3.563
CC(C)OC(=O)CS(=O)C=1C([N+](=O)[O-])=CC=CC=1,3.118
CC(C)OC(CSC1=CC=C(Cl)C=C1[N+](=O)[O-])=O,5.707999999999999
CC(C)OC(CSC1=CC=C(C=C1)[N+]([O-])=O)=O,4.204
CC(C)OC(=O)CSC=1C(=CC([N+]([O-])=O)=CC=1)Cl,4.57
CC(C)OC(CSC=1C([N+](=O)[O-])=CC=CC=1)=O,4.897
CN(C)C(OC(C)C)=O,3.674
CC(C)OC(=O)NC=1C=C(C=CC=1)Cl,5.447
CC(C)OC(=O)NC1=CC=CC=C1,3.687
CC(C)OC(=O)C=1C=C(C(=C(O)C=1)O)O,2.749
C1CCCN1C(=O)OC2=C(C=C(C(=C2)C(OC(C)C)=O)Cl)Cl,6.381
C1CCCN1C(=O)OC=2C=C(C(=O)OC(C)C)C(=CC=2F)Cl,5.573
CC(C)OC(C=1C=C2C3=C(NC2=CC=1)CCCC3)=O,6.316
CC(C)OC(C=1C=CC=CC=1)=O,4.518
CC(C)OC(C=1C(=CC=CC=1)C(=O)OC(C)C)=O,4.298
CC(C)OC(C1=CN=C2CCCC(N2C1=O)C)=O,2.58
CC(C)OC(N1C(=O)NC(C(F)=C1)=O)=O,1.002
CC(C)OC(=O)N1C=NC(CC(NC(=O)C2=CCC(=O)N2)C(N3C(C(N)=O)CCC3)O)=C1,0.553
CC(C)(C)OC(C)C,3.744
CC(C)OCC(CN1C=CN=C1[N+](=O)[O-])O,2.049
CC(C)OCCCNC(=O)C(NCC=1C=CC(=CC=1)C(C)C)=O,5.962
CC(C)OCCO,1.757
CC(C)OP(OC(C)C)(F)=O,2.57
CC(C)OP(C)(=O)F,1.718
CC(C)OP(OC(C)C)(C)=O,2.5370000000000004
CC(C)OC=1C(Br)=C(SC=1C(N=C2NNN=N2)=O)Br,3.977
CC(C)(C)C1=NN(C=2C=C(C(Cl)=CC=2Cl)OC(C)C)C(=O)O1,6.257
CC(C)OC1=CC=C(C=C1)C(=O)C2=CC=C3C(C(O)=O)CCN23,4.907
CC(C)OC=1C=CC(=CC=1)CC#N,3.875
CC(C)(C)C(OC(N1C=NC=C1)=O)COC=2C=CC(=CC=2)OC(C)C,5.215
CC(C)OC1=CC=C(C=C1)[N+]([O-])=O,4.411
CN(C)C(OCC=1C=CC=C(OC(C)C)C=1)=O,4.529
FC(F)(F)C1=CC=CC=C1C(=O)NC2=CC(=CC=C2)OC(C)C,5.123
CC(C)OC1=CC=CC=C1O,3.65
CC(C)OC1=CC=CC=C1O.C2=CC=C(C=C2)CN(N=NC=3C=CC(C(N)=O)=CC=3)C,7.129
CC(C)OC=1C(=CC=CC=1)OC(=O)N(C)C,3.672
CC(C)OC1=CNN=C1,3.088
CC(C)S(=O)(=O)N1C=2C(=CC=C(C(=NO)C3=CC=CC=C3)C=2)NC1=N,4.274
CC(C)SC(C)C,4.333
CC(C)C=1C(N(N)C(SC(C)C)=NN=1)=O,3.324
CC(C)[N+](=O)[O-],2.389
CC(C)C=1C=C(C=C(C(C)C)C=1)C2C(=O)C=3C(=CC=CC=3)C2=O,7.652666666666666
CC(C)(C)NC(=S)NC1=C(C=C(OC=2C=CC=CC=2)C=C1C(C)C)C(C)C,7.376
CC(C)C=1C=CC(C=2C=CC=CC=2)=CC=1,6.943
CC(C)C=1C(=CC=C(C(C)C)C=1NC(=O)CN(CC(=O)O)CC(=O)O)Br,1.293
CC(C)C=1C=CC(C(=O)O)=CC=1,5.169
CC(C)C1=CC=C(C(N)=O)C=C1,3.516
ClC(Cl)C(NC(C(O)C=1C=CC(=CC=1)C(C)C)CO)=O,3.759
O=C1C2=CC=CC=C2C(=O)C1C3=CC=C(C(C)C)C=C3,5.134
CC(C)C=1C=CC(C=[N+]([O-])C=2C=CC=CC=2)=CC=1,4.839
CC(C)C=1C=CC(=CC=1)N,3.78
CC(C)C=1C=CC(NC(N(C)C)=O)=CC=1,3.227
CC(C)C1=CC=C(O)C(=O)C=C1,3.309
CN(C)C(=O)OC1=CC=C(C(C)C)C=C1,4.594
CC(C)C1=CC=C(C=C1)OC(=O)C2=CC=C(N)C=C2O,6.512
CC(C)C=1C=CC(=CC=1)OCC(=O)O,3.932
CC(C)(C)C(OC(N1C=CN=C1)=O)COC=2C=CC(C(C)C)=CC=2,6.262
CC(C)(C)C(COC=1C=CC(C(C)C)=CC=1)OC(N2C=NC=C2)=S,7.355
CC(C)C=1C=CC([N+](=O)[O-])=CC=1,5.005
CC(C)C=1C=C(C=CC=1)C=2C=CC=CC=2,6.818
CC(C)C=1C=C(O)C(C=CC=1)=O,3.156
CC(C)C1=CC=CC(=C1N)C(C)C,4.437
CC(C)C=1C=CC=C(C=1NC(CC(CCCCCCCCCCO)=O)=O)C(C)C,5.068333333333333
CC(C)C1=C(NC(=O)N)C(C(C)C)=CC=C1,4.199333333333334
CC(C)C=1C(O)=C(C(C)C)C=CC=1,4.903
O=C1C=2C(C(=O)C1C3=CC(C(C)C)=CC=C3)=CC=CC=2,5.797
CC(C)C=1C=C(C=CC=1)OC2OC(C(O)C(C2O)O)CO,2.617
CC(C)C=1C=C(OCC(=O)O)C=CC=1,3.473
CC(C)C1=CC=CC(=C1)OP(OC=2C=CC=CC=2)(OC=3C=CC=CC=3)=O,6.794
O=S(=O)(C=1C=CC=C(C=1)C(C)C)N,3.21
CC(C)C1=CC=CC=C1,5.222
CC(C)C1=CC=CC=C1C(C)C,4.936
CC(C)C=1C(C(=O)N)=CC=CC=1,2.834
CC(C)C1=CC=CC=C1N,3.577
CC(C)C1=CC=CC=C1O,4.45
CC(C)C1=CC=CC=C1[N+]([O-])=O,5.212
CC(C)C1=CN=C(C(C2=CC=CC=C2)=N1)C3=CC=CC=C3,6.29
O=S(=O)(N=C1NC=C(C(C)C)C=N1)C2=CC=C(N)C=C2,2.039
CC(C)C=1N(C([N+](=O)[O-])=NC=1)C,2.465
CC(C)C=1N=C(SC=1)C2=CC=C(C=C2)C(C)C(O)=O,5.126
CC(C)C1=CSC(=N1)C=2C(Cl)=CC(=CC=2)C(C(=O)O)C,5.66
CC(C)C=1N=C(C2=CC=C(C(C)C(=O)O)C=C2F)SC=1,6.106
CC(C)C=1OC(=N)NN=1,1.761
CC(C)C=1C(N(C(NN=1)=S)N)=O,2.657
c1cc(ccc1-c2c(n(C=CC(O)CC(CC(O)=O)O)c(n2)C(C)C)-c3ccc(cc3)F)F,2.6159999999999997
c1cc(ccc1-c2c(-c3cccnc3)nc(C(C)C)n2C=CC(CC(O)CC(O)=O)O)F,-0.43
CC(C)C1=NC(=CN1)[N+](=O)[O-],2.233
C1CN(CCO1)C=2N(N)C(=O)C(=NN=2)C(C)C,2.0547500000000003
CC(C)C=1C(N(C(SCC(C2=CC=CC=C2)=O)=NN=1)N)=O,3.149
CC(C)N1C(=C(C=2C1=CC=CC=2)C=3C=CC(=CC=3)F)C=CC(CC(O)CC(=O)O)O,5.324
CC(C)N1C=CC(=O)C(O)=C1,1.135
CC(C)N1N=C2C(=N1)C=CC=C2,4.181
CC(C)N1N=C(OC2=CC=C(NC(N(C)C)=O)C=C2)N=N1,2.776
C1CC1C(C)C(O)(C=2C=CC(=CC=2)Cl)CN3N=CN=C3,4.793
CC1(C)CCCC(C)=C1C=CC(C)=CC=CC(=CC(O)=O)C,7.383
CC1(C)CCCC(C)=C1C=CC(=CC=CC(C)=CCO)C,7.125
C1CN1C2=C(C(=C(N3CC3)C(=C2O)NC(C=O)C)O)NC(C)CO,1.8886666666666667
C=1(C=CC(C2=CC=CC=C2)=CC=1)C(=O)CC(CC(=O)O)C,5.344
CC(C=1C=CC=CC=1)CC(=O)O,4.538666666666667
N1=C2C(=NN1C(CC(=O)O)C)C=CC=C2,1.66
O=C(O)CC(C)N1C2=CC=CC=C2N=N1,0.897
C=1(C=CC(C2=CC=CC=C2)=CC=1)C(=O)CC(C)C(O)=O,4.837
OC(C(CC(C1=CC=CC=C1)=O)C)=O,2.969
N1=C2C(=NN1C(C)CC(=O)N)C=CC=C2,2.635
C(CCC(=O)NCC(=O)O)(C1C2(C(C3C(C(O)C4C(C3CC2)(CCC(O)C4)C)O)CC1)C)C,3.295
C(CC(C1CCC2C3C(O)CC4C(CCC(O)C4)(C3CC(O)C12C)C)C)C(NCC(=O)O)=O,2.758
C(CC(C1CCC2C3C(O)CC4C(CCC(O)C4)(C3CC(O)C12C)C)C)C(NCC5=CC=CC=C5)=O,5.387
C(C1C2(C(C3C(C(O)C4C(C3CC2)(CCC(O)C4)C)O)CC1)C)(C)CCC(=O)O,4.969
C(CC(C1CCC2C3C(O)CC4C(CCC(O)C4)(C3CC(O)C12C)C)C)C(=O)O,4.034
C(C1C2(C)CCC3C(CC(C4CC(O)CCC34C)O)C2CC1)(C)CCC(=O)O,5.17
C(CC(C1CCC2C1(C(O)CC3C4(C(CC(O)CC4)CCC23)C)C)C)C(=O)O,4.847
C=12C(=NN(N=1)C(CCC(O)=O)C)C=CC=C2,2.06
CC(N1C2=CC=CC=C2N=N1)CCC(O)=O,1.752
C(C(C)N1C2=CC=CC=C2N=N1)CC(N)=O,2.65
FC(F)(F)CC(C)CCO,3.338
C=1C=CC=C2OC(COC=12)CNC(=O)C(=O)NC(C)CCC=3C=CC=CC=3,5.914
C(C)(CCl)OC(C)CCl,4.612
ClCC(C)OP(OC(C)CCl)(OC(C)CCl)=O,4.188
CN(C)CC(C)C(O)(C=1C=CC=CC=1)CC=2C=CC=CC=2,5.085
C=12C(=CC=CC=1)N(C=3C(=CC=CC=3)S2(=O)=O)CC(C)CN(C)C,3.785
C1CCCCN1CC(C)C(=O)C2=CC=CC=C2,4.95
C(O)C(CO)C,1.926
C=1C=CC=CC=1CNC(CO)C,2.948
O=S(=O)(CCNCCC=1C2=C(NC(=O)S2)C(O)=CC=1)CCCOCC(C)C=3C=CC=CC=3,3.52
C1(CCCN1C(C(CS)C)=O)C(=O)O,0.7145
C(=O)(O)C1N(C(C(CSC(C2=CC=CC=C2)=O)C)=O)CC(C1)SC=3C=CC=CC=3,6.099
CC(C)(C)C1=CC=C(C=C1)CC(C)CN2CC(C)OC(C)C2,7.132000000000001
C1=CC=CC(OP(OC=2C=CC=CC=2)(=O)OC(C=3C=CC=CC=3)(CC4=CC=CC=C4)C)=C1,5.547
CN(C)C(=O)OC(C)CC=1C=CC=CC=1,4.196
O=S(=O)(CCCOC(CC=1C=CC=CC=1)C)CCNCCC2=C3C(=C(O)C=C2)NC(=O)S3,3.681
ClC(Cl)(C(=O)O)C,2.03
ClC(Cl)(Cl)C,3.884
C=1C=CC=CC=1NC(=O)CN(C2=CC=CC=C2)C(C(C)Cl)=O,4.314
ClC(CCl)C,3.321
C([N+](=O)[O-])(Cl)C,2.961
C1(C(C(O)=O)(N)C)=CC=CC=2C=CC=CC1=2,1.163
CC(C)C(C(O)=O)NC(=O)C(N)C,0.327
OC(=O)C(NC(C(N)C)=O)C,-0.679
C1=CC(=CC=C1)CC(NC(C(NC(C(N)C)=O)CC=2C=CC(=CC=2)O)=O)C(O)=O,1.572
OC(=O)C(NC(CNC(C(N)C)=O)=O)CC1=CC=CC=C1,0.437
C1=C(C(=CC=C1C(C(N)C)O)O)O,0.673
NC(C(O)C1=CC=CC(O)=C1)C,1.403
NC(C)C(C=1C=CC=CC=1)O,2.272
C1CC(CCC1)CC(N)C,4.345
C1CC(CCCCC1)CC(C)N,4.759
NC(CCC1=CC=CC=C1)C,3.274
CC(CC1=CC=C2C(OCO2)=C1)N,3.0
CC1(C)C(N(C)C=2C1=CC=CC=2)=CC(=O)COC(C(C)N=C3C=4C(=CC=CC=4)S(=O)(=O)N3)=O,5.348
CC(N=C=S)C=1C=CC=CC=1,5.378
CC(C)C(C(NC(C)C(NC(C(=O)NC(CC1=CC=CC=C1)C(O)=O)C)=O)=O)N,-1.016
CC(C)C(C(NC(C(=O)NC(C(O)=O)C)C)=O)N,-0.279
CC(C)C(N)C(NC(C(NC(C(O)=O)C)=O)CC=1C=CC=CC=1)=O,1.003
CC(C)C(C(=O)O)NC(=O)C(C)NC(C(N)C(C)C)=O,0.713
CC(C)C(NC(=O)C(C)NC(C(CC1=CNC2=C1C=CC=C2)N)=O)C(=O)O,1.75
C=1C=CC2=C(C=1)NC=C2CC(N)C(=O)NC(C)C(=O)O,-0.459
C1CC1C(NC(C=2C=CC=CC=2)C)=O,3.072
C1CN(CCC1C(NC(C=2C=CC=CC=2)C)=O)C(=O)C=3C=CC(F)=CC=3,5.32
C1CC(CCC1)N(S(=O)(=O)C2=CC=CC=C2)CC(NC(C)C3=CC=CC=C3)=O,7.025
CC(C)C(NC(C(NC(=O)CN)C)=O)C(=O)O,-0.43599999999999994
C1=CC=C(C(C)NC(=O)CSC2=C3C=NN(C3=NC=N2)C4=CC=CC=C4)C=C1,6.904
OC(=O)C(NC(=O)N(N=O)CCCl)C,2.179
C1=CC=C(C=C1)C(NNC(=O)COC2=CC=CC=C2)C,4.201
FC(F)(F)C(C(NC=1C=C(C(=CC=1)[N+]([O-])=O)C(F)(F)F)=O)(C)O,4.404
OC(C)C#N,1.634
C(C(=O)O)(C(O)C)C=1C=CC(C2=CC=CC=C2)=CC=1,4.252
CC(O)C(C)O,0.607
FC(F)(F)C(O)C,1.575
C(O)(CN)C,0.827
C(O)(C)CN(CC(O)C)C(COC(=O)C=1C=CC=CC=1)=O,2.423
C=1N=CC=C(C2=CNC(=NCC(C)O)C(C#N)=C2)C=1,2.369
FC(F)(C(NCC(O)C)=O)CN1C=NC([N+](=O)[O-])=N1,0.928
CC(CNCC(C)O)O,0.762
C(CO)(O)C,0.153
C=1(C(O)=CC=C(C=1)CC(N)C(=O)OCC(O)C)O,0.792
C(C)(OCC(C)O)CO,0.561
C1(=CC=C(C=C1)Cl)OCC(C)O,3.914
C1(C=C(OC=2C=CC=C(OCC(O)C)C1=2)C(=O)O)=O,2.711
C=1(C=CC=CC=1)OCC(C)O,2.984
C=1N=C(C(C#N)=CC=1C2=CC=NC=C2)OCC(C)O,3.116
C(C1=CC=CC=C1)C(C)O,3.412
[O-][N+](=O)C1=NC=CN1CC(C)O,1.219
C1=CC2=CC=C(C(O)C)C=C2C=C1,4.244
C(C)(O)C=1C=CC=CC=1,2.817
FC(F)(F)C1=CC(C(OC(C(=O)N)C)=O)=CC=C1,4.064
CC(C)(C)C(C)OCC1=CN(C)C(C=NO)=N1,3.67
CC(C)(C)C(OP(OC(C(C)(C)C)C)(C)=O)C,6.154
O(C(C(=O)O)C)C=1C(Cl)=CC(Cl)=C(C=1)Cl,5.823
OC(=O)C(OC1=CC=C(C=C1)Cl)C,3.887
FC(F)(F)OC=1C=CC(=CC=1)N2N=NC(C(C(C)OC=3C(=CC(F)=CC=3)F)=O)=C2,7.044
FC(F)(F)C1=CC=C(OC2=CC=C(OC(C)C(=O)O)C=C2)N=C1,4.537
CC1(C)C(C(O)=O)N2C(C(C2S1)NC(C(C)OC3=CC=CC=C3)=O)=O,4.107
FC(F)(F)OC=1C=CC(=CC=1)NC(C(OC=2C=CC=CC=2)C)=O,6.326
C(C)(C(=O)N)SC=1N(C=2C=CC=CC=2)C(=NN=1)C3=CC=C(C=C3)F,4.936
N1=C(SC(C(=O)NCC(=O)NC2=CC=C(C(F)=C2F)F)C)N(N=N1)C3=CC=C(C=C3)Cl,5.974
C=1(C=CC(=CC=1)C(C=2C=CC(F)=CC=2)(C(N3C=CN=C3)C)O)F,3.881
C1COCCN1C(C2C(C)(C)C(C(=O)N3CCOCC3)(C)CC2)=O,3.564
CC1(C)C(OC2OC(C(C(C2OC3OC(C(O)=O)C(O)C(O)C3O)O)O)C(O)=O)CCC4(C5C(C6(C)CCC7(CCC(C)(C(=O)O)CC7=C6CC5=O)C)(CCC14)C)C,4.61
ClC(Cl)C12C(Cl)C(Cl)C(C(C1Cl)Cl)C2(C)C(Cl)Cl,7.703
ClC1(Cl)CC2(C(C1CC2(Cl)Cl)(C)C(Cl)Cl)C(Cl)Cl,7.259
CC1(C)C(C(OCC2=CC=CC=C2)=O)C1=CC3CCSC3=O,5.896
N1C(=O)C(C(NC1=O)=O)(C)C,1.17
N1C(=O)C(C(NC1=S)=O)(C)C,1.465
CC1(C)C(C)(C)C1C(=O)OC(C2=CC=CC(OC3=CC=CC=C3)=C2)C#N,7.595
CC1(C)C(C=C(Br)Br)C1C(=O)OC(C#N)C2=CC=CC(OC3=CC=CC=C3)=C2,7.185
FC(F)(F)C(Cl)=CC1C(C1(C)C)C(=O)OC(C#N)C2=CC=CC(OC3=CC=CC=C3)=C2,6.884
ClC(Cl)=CC1C(C)(C)C1C(OCC2=CC=CC(=C2)OC3=CC=CC=C3)=O,7.744
CC1(C)C2CC1CC=C2C=O,4.455
CC1(C)C2CC1CC=C2CO,4.703
CC1(C)C2CC1CCC2CN,3.683
CC1(C)CC(C2C(C=3C=C(Cl)C=CC=3)C(C#N)C(N(C=4C(=CC=CC=4F)F)C2=C1)=N)=O,6.226
C1COC2(CCC3(CC2)C4C(=CC(C)(C)CC4=O)OC(C3C#N)=N)O1,3.46
CC1(C)OC2=CC=CC=C2C=C1,4.449
CC1(C)CC(CC(C)(C)N1O)=O,1.529
CC1(C)CC(=O)NN1C=NNC2=CC=CC=C2,1.86
CC1(C)CC(P(C)(=O)O1)(O)C,1.87
CC1(C)CC(CC(C)(C)N1O)N,2.708
CC1(C)CN1P(N2CC2(C)C)(=O)NC(=O)NC3CC(C)(C)N(O)C3(C)C,1.208
CC1(C)CC(CC(C)(C)N1)NC(NP(N2C(C)(C)C2)(N3C(C)(C)C3)=O)=O,2.036
CC1(C)CC(CC(C)(C)N1O)NC(=O)NP(N2CC2(C)C)(N3CC3(C)C)=O,1.456
C1CN1P(N2CC2)(=O)NC(NC3C(C)(C)N(O)C(C)(C)C3)=O,0.59
CC1(C)C(CN2C=NC=N2)(O)C(CC1)=CC3=CC=C(Cl)C=C3,5.356
CC1(C)CCC(C)(C)O1,3.899
CC1(C)C(C(CC=2C=CC(=CC=2)Cl)CC1)(O)CN3C=NC=N3,5.043
CC1(C)CCC(CC1)(C2=CC=CC=C2)N3CCCCC3,7.953
CC1(C)CCCC(C)(C)N1,3.654
CC1(C)CCCC(C)(C)N1N=O,4.062
CC1(C)CN1P(N2CC2(C)C)(=O)NC(=O)NC34CC5CC(C3)CC(C4)C5,3.124
FC(F)(F)C=1C=CC(=CC=1)C=CC(C=CC=2C=CC(C(F)(F)F)=CC=2)=NNC3=NCC(C)(C)CN3,3.556
O1CC(C)(C)COC1(CN2C=NC=N2)C3=CC=C(N4C=NC=C4)C=C3Cl,3.805
CC1(C)C(=O)N(OC1)CC2=CC=CC=C2Cl,3.872
CC1(C)N=C(N=C(N)N1C=2C=CC(=CC=2)Br)N,2.487
FC(F)(F)C1=CC=C(C=C1)N2C(C)(C)N=C(N)N=C2N,2.641
CC1(C)N(C(=NC(N)=N1)N)C=2C=CC(F)=CC=2,0.283
CC1(C)N=C(N=C(N1C2=CC=C(C=C2)I)N)N,2.904
CC1(C)N=C(N=C(N1C=2C=CC(N)=CC=2)N)N,1.26
CC1(C)N=C(N)N=C(N1C=2C=CC(=CC=2)OCC(=O)N3CCOCC3)N,0.501
CC1(C)N(C(N)=NC(N)=N1)C2=CC=CC(C#N)=C2,1.158
CC1(C)N(C(N)=NC(=N1)N)C2=CC=CC(COC=3C=C(C=CC=3)NC(N)=O)=C2,2.485
CC1(C)N(C(N)=NC(=N1)N)C=2C=C(C=CC=2)COC3=CC=CC=C3,3.469
CC1(C)N(C=2C=C([N+](=O)[O-])C=CC=2)C(=NC(=N1)N)N,1.144
CC1(C)N=C(N)N=C(N)N1C2=CC=CC=C2,2.505
CC1(C)C(=O)NC(N1)=O,2.409
CC1(C)C2=CC=CC=C2C(O1)=O,3.147
CC1(C)N(CC(O1)C=2OC=CC=2)C(C(Cl)Cl)=O,3.674
CC1(C)OC2(C3(C(CC2O1)C4CC(=C5CC(C(=CC5(C)C4(F)C(O)C3)Cl)=O)F)C)C(=O)CO,4.576
CC1(C)OC2(C(=O)CO)C(CC3C4CC(F)=C5C(C)(C=CC(C5)=O)C4(F)C(CC23C)O)O1,3.964
CC1(C)OC2(C(O1)CC3C4C(F)(C(O)CC23C)C5(C(=CC4)CC(=O)C=C5)C)C(=O)CO,4.433
C1COCCN1C=2C(=C(C(=C(F)N=2)Cl)OCC3OC(C)(C)OC3)F,5.235
CC1(C)OC2(C(O)=O)OC3COC(C)(C)OC3C2O1,2.812
C1COC(O1)(C)C,1.961
CC1(C)C(N2C(=O)C(C2S1)NC(=O)C(C(O)=O)C3=CC=CC=C3)C(O)=O,2.82
CC1(C)C(N2C(S1)C(NC(=O)C(C=3C=CC=CC=3)C(=O)OC=4C=CC=CC=4)C2=O)C(O)=O,4.728
CC1(C)SC2C(C(=O)N2C1C(O)=O)NC(C(C=3C=CC=CC=3)Cl)=O,3.717
CC1(C)C(N2C(S1)C(C2=O)NC(C(N)C=3C=CC=CC=3)=O)C(O)=O,2.964
CC1(C)C(N2C(=O)C(C2S1)NC(C(NS(=O)(=O)C)C3=CC=CC=C3)=O)C(O)=O,2.26
CC1(C)C(N2C(=O)C(NC(C(O)C=3C=CC=CC=3)=O)C2S1)C(O)=O,3.06
CC1(C)C(N2C(=O)C(NC(C(C=3C=CC=CC=3)S(=O)(=O)O)=O)C2S1)C(O)=O,2.051
CC1(C)C(N2C(C(NC(=O)CCOC3=CC=CC=C3)C2=O)S1)C(O)=O,3.557
CC1(C)C(N2C(C(NC(COC3=CC=CC=C3)=O)C2S1)=O)C(O)=O,3.572
CC1(C)C(N2C(S1)C(NC(CC3=CC=C(Cl)C=C3Cl)=O)C2=O)C(O)=O,4.703
CC1(C)C(N2C(=O)C(NC(=O)CC3=CC=CC=C3)C2S1)C(O)=O,2.964
CC1(C)C(N2C(C(NC(C3=C(CO)ON=C3C4=C(C=CC=C4Cl)F)=O)C2=O)S1)C(O)=O,3.6750000000000003
CC1(C)C(N2C(C(NC(C=3C(C4=CC=CC=C4)=NOC=3CO)=O)C2=O)S1)C(O)=O,2.593
ClC1(Cl)C2(C(C)(C(C(Cl)(Cl)C2)C1)CCl)C(Cl)Cl,7.05
C1CC(CCC1)(C)COC2=CC=CC(=C2)C3C(NC(=O)S3)=O,5.818
C1CCCCC1(C)NC(=O)NC2=CC=CC=C2,5.155
CC1(C)C2(C(C(C34C(C(C)(O)C2C5OC15)(O)CCC(C(C)(O)C3)C4O)O)O)O,0.541
CC1(C)C2(C(CC1O)C(O)(C)C3C4(CC2O)C(O)C(C(O)(C)C4)CC3)O,1.639
OC1(C2(CC(O)C3(F)C4(C(=CCC3C2CC1)CC(CC4)=O)C)C)C,4.124
C12CCC(CC1=CCC3C4CCC(O)(C)C4(C)CCC23)=O,4.414
C1C(O)(C)C2(C)C(C3CCC4C(CCC(C4)=O)(C3(C(C2)O)F)C)C1,3.908
C1=2C(OC(=O)C1=CC=CC=2)(C)O,2.406
CC1(C2N(C(N1)=S)N(C3=CC=C(C=C3)Cl)C(N2)=S)C=4C=CC(Cl)=CC=4,6.521
C=1(C(=CC(Cl)=CC=1)Cl)C2(OCC(O2)CN3N=CN=C3)C,5.104
N1C(=O)C(C(NC1=O)=O)(C)C=2C=CC=CC=2,2.198
C=1C=CC=CC=1C2(NC(=O)NC2=O)C,1.919
C1=C(C2(C)C(NC(O2)=O)=O)C=CC=C1,3.108
C12(C3C(CC(C1=CC(C=C2)=O)F)C4C(CC3O)(C)C(O)(C(=O)CO)CC4)C,1.388
C1=CC2(C3C(CC4(C)C(O)(C(=O)CO)CCC4C3CCC2=CC1=O)=O)C,3.234
C12C(CCC3=CC(C=CC13C)=O)C4C(CC2O)(C)C(O)(C(=O)CO)CC4,3.13
C12CCC=3C(C1C(O)CC4(C2CCC4(O)C(COC5OC(CO)C(OC6C(O)C(C(O)C(CO)O6)O)C(O)C5O)=O)C)(C=CC(=O)C=3)C,1.2305000000000001
OC1(C(=O)CO)C(CC2C3C(C(CC12C)O)(F)C4(C=CC(C=C4CC3)=O)C)O,2.517
C1CC2C3C(CC(C2(F)C4(C=CC(C=C14)=O)C)O)(C(CC3)(C(=O)CO)O)C,2.262
C(C12C3C(C4(CCC(C=5CC(=O)OC=5)C4(CC3O)C)O)CCC2(CC(O)CC1O)O)O,1.718
CC12CC3(CC(C)(C1)CC(C)(C3)C2)N,6.129
CC12CC3CC(C)(CC(C1)(C3)N)C2,4.394
C12CC3(CC(CC(C1)(N)C3)C2)C,4.338
C12(C(CCC1(C(=O)CO)O)C3CC(C=4C(CCC(=O)C=4)(C)C3C(O)C2)F)C,3.283
C1CC12C=3C(C4CCC5(C(C4C2)CCC56CCC(O6)=O)C)(C)CCC(=O)C=3,4.145
C12C(C3C(CC1)(C4(OC(=O)CC4)CC3)C)C5CC5C6=CC(CCC26C)=O,3.777
C1C2(C3C(C4C(CC3)(C5(OC(=O)CC5)CC4)C)C=CC2=CC(C1)=O)C,3.816
OCC(=O)C1(CCC2C3CCC=4C(C)(CCC(=O)C=4)C3C(=O)CC12C)O,2.842
C1(C=C2CCC3C4C(C(CC4)C(=O)CO)(CC(O)C3C2(CC1)C)C)=O,3.39
C12(C(CCC1C3CCC=4C(C3C(O)C2)(CCC(=O)C=4)C)(C(=O)CO)O)C,3.048
O=C(O)CCC(OCC(=O)C1(C2(CC(C3C(CCC=4C3(CCC(=O)C=4)C)C2CC1)O)C)O)=O,4.135
C12(C(CCC1C3CCC=4C(C3C(O)C2)(CCC(=O)C=4)C)(C(=O)COC(=O)CCC(N)=O)O)C,3.949666666666667
O=C(O)CCCCCC(OCC(=O)C1(C2(CC(C3C(CCC=4C3(CCC(=O)C=4)C)C2CC1)O)C)O)=O,5.25
C12(C(CCC1C3CCC=4C(C3C(O)C2)(CCC(=O)C=4)C)(C(=O)COC(CCCCCC(N)=O)=O)O)C,3.559
C12(C(CCC1C3CCC=4C(C3C(O)C2)(CCC(=O)C=4)C)(C(=O)COC(CCCCCO)=O)O)C,3.454
OCC1C(C(O)C(C(OCC(=O)C2(C3(CC(C4C(CCC=5C4(CCC(=O)C=5)C)C3CC2)O)C)O)O1)O)O,1.386
C123C(CCC1C4C(C(OC2O)C3)C5(CCC(C=C5CC4)=O)C)C(=O)CO,2.752
C1(C=C2CCC3C4CCC(C4(CCC3C2(CC1)C)C)C(=O)CO)=O,4.259
C1(C=C2CCC3C4CCC(O)C4(CCC3C2(CC1)C)C)=O,5.2476666666666665
C12C3CCC(O)(C)C3(C)CCC1C4(C(CC2)=CC(CC4)=O)C,4.877
C12CCC3=CC(CCC3(C)C1CCC4(C(CCC24)(C(=O)CO)O)C)=O,4.562
C12CCC3=CC(CCC3(C)C1CCC4(C5(OC(=O)CC5)CCC24)C)=O,4.358
OCC(=O)C1(CCC2C3CCC4=CC(=O)CCC4(C)C3(C(CC12C)=O)F)O,2.815
OCC(=O)C1(CCC2C3C(C4(CCC(=O)C=C4CC3)C)(C(CC12C)O)F)O,3.18
C12(C3(C(O)CC4(C5(OC(=O)CC5)CCC4C3CCC1=CC(=O)CC2)C)F)C,3.881
C12(C(CCC13OC(=O)CC3)C4CCC=5C(C)(CCC(=O)C=5)C46C(O6)C2)C,3.314
C1C2(OC(=O)CC2)C3C(C4C(C5(CCC(=O)C=C5CC4)C)(CC3)C)C1,3.763
CC1(C)C2(C)C(C(C1CC2)=O)=O,3.1
FC(F)(F)C1=CC=CC=C1NC(C23C(C)(C)C(C4=NC=5C=CC=CC=5N=C24)(CC3)C)=O,7.722
CC1(C)C(C2(CCC1C2)C)=O,4.213666666666666
C1CC2(CCC1C(C)(C)O2)C,5.637
CC1(C)C2CCC1(C)C(C2)=O,4.341
